相談状況,,,,,,,,,,
受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談実数,再掲：有症相談,再掲：海外旅行安全性,再掲：感染症予防,再掲：感染症治療,再掲：発症時対応,"再掲：
その他"
2020/1/31,200000,長野県,,433,84,2,32,0,63,252
2020/2/1,200000,長野県,,35,15,0,0,0,3,17
2020/2/2,200000,長野県,,23,7,0,0,0,2,14
2020/2/3,200000,長野県,,97,10,1,31,5,6,49
2020/2/4,200000,長野県,,74,17,1,7,2,5,42
2020/2/5,200000,長野県,,66,21,1,2,1,1,40
2020/2/6,200000,長野県,,79,16,1,5,0,4,53
2020/2/7,200000,長野県,,39,23,2,4,1,3,31
2020/2/8,200000,長野県,,20,12,2,1,0,0,12
2020/2/9,200000,長野県,,7,4,0,1,0,0,5
2020/2/10,200000,長野県,,40,15,3,3,2,2,24
2020/2/11,200000,長野県,,11,4,1,0,0,0,11
2020/2/12,200000,長野県,,40,20,2,5,0,4,31
2020/2/13,200000,長野県,,70,12,0,4,1,4,57
2020/2/14,200000,長野県,,103,33,1,5,0,2,64
2020/2/15,200000,長野県,,66,40,1,6,0,2,20
2020/2/16,200000,長野県,,69,53,0,3,0,1,15
2020/2/17,200000,長野県,,195,88,1,6,0,17,108
2020/2/18,200000,長野県,,226,106,1,3,0,14,110
2020/2/19,200000,長野県,,187,104,1,6,6,8,86
2020/2/20,200000,長野県,,160,92,1,11,0,5,85
2020/2/21,200000,長野県,,151,93,2,5,1,4,71
2020/2/22,200000,長野県,,118,92,1,2,0,1,50
2020/2/23,200000,長野県,,152,124,0,2,2,2,55
2020/2/24,200000,長野県,,142,103,0,2,1,3,45
2020/2/25,200000,長野県,,623,286,1,25,3,34,348
2020/2/26,200000,長野県,,422,215,1,3,0,23,243
2020/2/27,200000,長野県,,553,308,0,13,18,27,294
2020/2/28,200000,長野県,,446,249,0,18,2,15,193
2020/2/29,200000,長野県,,275,185,0,5,1,7,152
2020/3/1,200000,長野県,,296,179,0,5,3,13,153
2020/3/2,200000,長野県,,528,334,0,2,31,19,229
2020/3/3,200000,長野県,,412,250,1,7,3,16,198
2020/3/4,200000,長野県,,381,223,2,25,0,47,165
2020/3/5,200000,長野県,,316,199,0,6,5,36,129
2020/3/6,200000,長野県,,484,172,1,11,5,12,350
2020/3/7,200000,長野県,,256,147,0,1,1,4,136
2020/3/8,200000,長野県,,264,202,0,1,1,6,121
2020/3/9,200000,長野県,,400,275,1,3,2,18,188
2020/3/10,200000,長野県,,367,216,0,10,6,17,199
2020/3/11,200000,長野県,,269,163,0,6,0,12,137
2020/3/12,200000,長野県,,307,152,2,9,1,21,200
2020/3/13,200000,長野県,,286,160,2,3,0,16,144
2020/3/14,200000,長野県,,220,103,0,0,0,10,151
2020/3/15,200000,長野県,,202,143,0,2,0,2,113
2020/3/16,200000,長野県,,378,192,0,2,0,17,235
2020/3/17,200000,長野県,,282,140,3,5,2,15,185
2020/3/18,200000,長野県,,299,148,1,3,0,18,181
2020/3/19,200000,長野県,,264,130,3,4,2,10,145
2020/3/20,200000,長野県,,143,71,0,0,0,1,87
2020/3/21,200000,長野県,,172,114,26,3,11,4,73
2020/3/22,200000,長野県,,137,86,0,0,0,3,83
2020/3/23,200000,長野県,,297,144,0,0,1,18,190
2020/3/24,200000,長野県,,279,137,1,4,1,16,184
2020/3/25,200000,長野県,,333,144,1,6,0,17,230
2020/3/26,200000,長野県,,428,221,1,4,0,22,255
2020/3/27,200000,長野県,,446,244,0,9,2,20,248
2020/3/28,200000,長野県,,416,231,0,1,1,2,260
2020/3/29,200000,長野県,,323,179,0,4,0,6,190
2020/3/30,200000,長野県,,862,490,4,10,2,19,507
2020/3/31,200000,長野県,,791,467,0,10,1,24,441
2020/4/1,200000,長野県,,896,530,1,16,0,52,552
2020/4/2,200000,長野県,,918,593,0,4,1,24,535
2020/4/3,200000,長野県,,899,481,0,19,3,55,501
2020/4/4,200000,長野県,,616,370,1,2,0,29,384
2020/4/5,200000,長野県,,720,483,0,14,1,27,422
2020/4/6,200000,長野県,,1151,799,1,9,1,44,618
2020/4/7,200000,長野県,,1151,678,2,9,1,39,669
2020/4/8,200000,長野県,,1377,706,0,12,4,53,967
2020/4/9,200000,長野県,,1366,809,0,10,2,39,903
2020/4/10,200000,長野県,,1267,782,0,9,0,35,805
2020/4/11,200000,長野県,,854,472,0,11,0,6,446
2020/4/12,200000,長野県,,894,593,0,9,0,28,431
2020/4/13,200000,長野県,,1606,1058,0,10,2,39,808
2020/4/14,200000,長野県,,1252,731,0,17,8,40,679
2020/4/15,200000,長野県,,1291,740,1,29,3,37,680
2020/4/16,200000,長野県,,1263,809,0,13,5,68,676
2020/4/17,200000,長野県,,1271,806,0,2,0,33,786
2020/4/18,200000,長野県,,722,512,0,5,0,5,372
2020/4/19,200000,長野県,,620,432,0,2,1,5,288
2020/4/20,200000,長野県,,1255,816,0,5,1,31,633
2020/4/21,200000,長野県,,989,589,0,2,4,27,525
2020/4/22,200000,長野県,,974,582,0,10,0,39,490
2020/4/23,200000,長野県,,1006,563,0,2,1,21,558
2020/4/24,200000,長野県,,1082,628,1,13,5,32,579
