相談状況,,,,,,
受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談実数,再掲：有症相談,再掲：その他
2020/1/7,200000,長野県,,0,0,0
2020/1/8,200000,長野県,,0,0,0
2020/1/9,200000,長野県,,0,0,0
2020/1/10,200000,長野県,,0,0,0
2020/1/11,200000,長野県,,0,0,0
2020/1/12,200000,長野県,,0,0,0
2020/1/13,200000,長野県,,0,0,0
2020/1/14,200000,長野県,,2,0,2
2020/1/15,200000,長野県,,0,0,0
2020/1/16,200000,長野県,,1,0,1
2020/1/17,200000,長野県,,3,2,1
2020/1/18,200000,長野県,,0,0,0
2020/1/19,200000,長野県,,0,0,0
2020/1/20,200000,長野県,,4,3,1
2020/1/21,200000,長野県,,6,2,4
2020/1/22,200000,長野県,,14,2,12
2020/1/23,200000,長野県,,9,0,9
2020/1/24,200000,長野県,,22,3,19
2020/1/25,200000,長野県,,4,2,2
2020/1/26,200000,長野県,,4,3,1
2020/1/27,200000,長野県,,25,6,19
2020/1/28,200000,長野県,,39,8,31
2020/1/29,200000,長野県,,82,17,65
2020/1/30,200000,長野県,,110,17,93
2020/1/31,200000,長野県,,130,19,111
2020/2/1,200000,長野県,,39,19,20
2020/2/2,200000,長野県,,23,9,14
2020/2/3,200000,長野県,,83,16,67
2020/2/4,200000,長野県,,76,19,57
2020/2/5,200000,長野県,,59,26,33
2020/2/6,200000,長野県,,85,31,54
2020/2/7,200000,長野県,,65,20,45
2020/2/8,200000,長野県,,25,14,11
2020/2/9,200000,長野県,,12,1,11
2020/2/10,200000,長野県,,52,20,32
2020/2/11,200000,長野県,,22,7,15
2020/2/12,200000,長野県,,59,25,34
2020/2/13,200000,長野県,,70,12,58
2020/2/14,200000,長野県,,103,33,70
2020/2/15,200000,長野県,,69,39,30
2020/2/16,200000,長野県,,73,52,21
2020/2/17,200000,長野県,,195,88,107
2020/2/18,200000,長野県,,228,106,122
2020/2/19,200000,長野県,,187,104,83
2020/2/20,200000,長野県,,162,92,70
2020/2/21,200000,長野県,,151,93,58
2020/2/22,200000,長野県,,118,92,26
2020/2/23,200000,長野県,,152,124,28
2020/2/24,200000,長野県,,142,103,39
2020/2/25,200000,長野県,,623,286,337
2020/2/26,200000,長野県,,470,221,249
2020/2/27,200000,長野県,,583,303,280
2020/2/28,200000,長野県,,446,246,200
2020/2/29,200000,長野県,,275,184,91
2020/3/1,200000,長野県,,296,179,117
2020/3/2,200000,長野県,,528,334,194
2020/3/3,200000,長野県,,416,250,166
2020/3/4,200000,長野県,,381,223,158
2020/3/5,200000,長野県,,321,199,122
2020/3/6,200000,長野県,,485,172,313
2020/3/7,200000,長野県,,256,147,109
2020/3/8,200000,長野県,,264,202,62
2020/3/9,200000,長野県,,401,275,126
2020/3/10,200000,長野県,,367,216,151
2020/3/11,200000,長野県,,269,163,106
2020/3/12,200000,長野県,,336,152,184
2020/3/13,200000,長野県,,295,160,135
2020/3/14,200000,長野県,,241,103,138
2020/3/15,200000,長野県,,239,143,96
