,新型コロナウイルス感染症に関する相談状況について,,,,,,
,,,,,,,健康福祉部
日付,相談件数（実）,,,,,,
,,有症相談,"海外旅行の安全性に
ついて",新型コロナウイルス感染症の予防について,新型コロナウイルス感染症の治療について,発症時の対応について,その他
1月1日～1月31日,433,84,2,32,0,63,252
2月1日～2月29日,4489,2347,25,178,46,199,2325
3月1日,296,183,0,5,3,13,153
3月2日,528,338,0,2,31,19,229
3月3日,412,252,1,7,3,16,198
3月4日,381,228,2,25,0,47,165
3月5日,316,203,0,6,5,36,129
3月6日,484,176,1,11,5,12,350
3月7日,256,150,0,1,1,4,136
3月8日,264,209,0,1,1,6,121
3月9日,400,281,1,3,2,18,188
3月10日,367,217,0,10,6,17,199
3月11日,269,168,0,6,0,12,137
3月12日,304,158,2,9,1,21,200
3月13日,286,161,2,3,0,16,144
3月14日,220,106,0,0,0,10,151
3月15日,202,146,0,2,0,2,113
3月16日,378,200,0,2,0,17,235
3月17日,282,145,3,5,2,15,185
3月18日,299,166,1,3,0,18,181
3月19日,264,135,3,4,2,10,145
3月20日,143,73,0,0,0,1,87
3月21日,131,96,26,3,11,4,73
3月22日,140,92,0,0,0,3,83
3月23日,297,162,0,0,1,18,190
3月24日,279,144,1,4,1,16,184
3月25日,333,162,1,6,0,17,230
3月26日,428,240,1,4,0,22,255
3月27日,446,254,0,9,2,20,248
3月28日,416,244,0,1,1,2,260
3月29日,323,184,0,4,0,6,190
3月30日,862,534,4,10,2,19,507
3月31日,791,502,0,10,1,24,441
4月1日,896,528,1,16,0,52,552
4月2日,918,593,0,4,1,24,535
4月3日,899,481,0,19,3,55,501
4月4日,620,369,1,2,0,29,384
4月5日,721,484,0,14,1,27,422
4月6日,1179,911,10,6,3,35,527
4月7日,1151,678,2,9,1,39,669
,,,,,,,
計,22103,12784,90,436,136,984,12274
